Date,MTUM,VTV,VEU,VWO,VCIT,VGLT,BNDX,VTIP,DBC,IAU,VNQ
2021-05-28 00:00:00,157.12327056884766,115.91700019836426,54.89485744476318,47.615778102874756,91.37520301818847,89.38074798583985,55.44190155029297,47.675913410186766,15.221650009155274,35.37070003509521,82.96396633148193
2021-06-01 00:00:00,157.2700272369385,116.08770908355713,54.962558879852295,47.67430192947388,91.37493240356446,89.31199905395508,55.43968231201172,47.68683616638184,15.25010001182556,35.36550003051758,83.07458972930908
2021-06-02 00:00:00,157.41504875183105,116.25878391265869,55.03206621170044,47.73316879272461,91.37681053161621,89.24586242675781,55.43813377380371,47.6977589225769,15.279050016403199,35.361850032806394,83.19091484069824
2021-06-03 00:00:00,157.54180526733398,116.43298084259033,55.09710163116455,47.7868091583252,91.37604866027831,89.17715194702149,55.43538829803467,47.70821578979492,15.30610002040863,35.35075002670288,83.30230861663819
2021-06-04 00:00:00,157.67229446411133,116.61083969116211,55.16511205673218,47.8420565032959,91.37646728515625,89.11041042327881,55.43298313140869,47.71872320175171,15.33405002117157,35.33975002288818,83.41577320098877
2021-06-07 00:00:00,157.80672950744628,116.7892993927002,55.2351088142395,47.89866298675537,91.37726211547852,89.04532989501953,55.430575675964356,47.72941232681274,15.362350025177001,35.33540000915527,83.54179016113281
2021-06-08 00:00:00,157.93228813171388,116.96974224090576,55.30499828338623,47.95472839355469,91.37817390441894,88.978709526062,55.42821947097778,47.73991523742676,15.391700019836426,35.32935001373291,83.66839691162109
2021-06-09 00:00:00,158.04721710205078,117.14752262115479,55.37463647842407,48.009270992279056,91.37996044158936,88.91291957855225,55.426345329284665,47.7498600769043,15.421250014305114,35.324600009918214,83.7950703048706
2021-06-10 00:00:00,158.16374954223633,117.31772415161133,55.44259893417358,48.06355966567993,91.38339149475098,88.85048805236816,55.424616508483886,47.76004302978516,15.450800018310547,35.321400012969974,83.92292774200439
2021-06-11 00:00:00,158.2796617126465,117.48907810211182,55.50995161056519,48.11474222183227,91.38800689697266,88.79088523864746,55.42437177658081,47.76980611801147,15.479500017166139,35.3160000038147,84.04777126312256
