Date,MTUM,VTV,VEU,VWO,VCIT,VGLT,BNDX,VTIP,VAW,IAU,VNQ,Returns
2022-04-22,-0.08932072501145483,-0.016781673758455184,-0.04653586209541549,-0.05527854277079314,-0.04552818177044016,-0.0886209261121359,-0.02618223802074271,-0.00025630361750594854,-0.028240121831265008,-0.0029867120522054647,0.012826422021035677,1 month
2022-04-22,-0.07140734431264317,0.003766133324366372,-0.08024110247411054,-0.12007344893427419,-0.08876672017439213,-0.14651617479305024,-0.059843472732546865,0.0026806140966404435,0.03384412651421331,0.0730566893868918,0.0387860674288083,3 month
2022-04-22,-0.19255330208358468,0.029755966684477775,-0.10923581545646799,-0.12876308954176596,-0.11156372839929984,-0.17263909374064068,-0.06999142517200807,0.0016281997659242098,0.02226341308143187,0.08222814295412006,0.021618835244302304,6 month
2022-04-22,-0.1036534197637663,0.09320390065996031,-0.09112705955849154,-0.15477425414475066,-0.10111029053334653,-0.11867334615984237,-0.0709849004232399,0.02957535169722414,0.05531636543741203,0.0896142548781429,0.13933844469547463,1 year
