Date,VNQ_1M,VNQ_3M,VNQ_6M,VNQ_12M,VNQ_avg,VNQ_rank
2014-06-30 00:00:00,0.0113412730739452,0.0696272830745545,0.1776744804667067,0.1339278781697011,0.0981427286962269,1
2014-07-31 00:00:00,0.0008020784378404,0.0364362718359345,0.130297463795135,0.1246898733576475,0.0730564218566394,2
2014-08-29 00:00:00,0.030440395535785,0.0429627689651244,0.1085522423526126,0.2458903132317478,0.1069614300213174,2
2014-09-30 00:00:00,-0.0604055981684632,-0.0310274037765888,0.0364395254721441,0.1312433249621516,0.0190624621223109,6
2014-10-31 00:00:00,0.0993736931831363,0.0644092420013366,0.1031923464875792,0.1898688631671001,0.1142110362097881,1
2014-11-28 00:00:00,0.0200025934505476,0.0536273539330494,0.0988941025154102,0.2809305010787286,0.1133636377444339,1
2014-12-31 00:00:00,0.0190389914016317,0.1427136581190589,0.1072582200475762,0.3039897490370198,0.1432501546513216,1
2015-01-30 00:00:00,0.0685190416264291,0.1106426417131025,0.1821782924002049,0.3362131256536151,0.1743882753483379,2
2015-02-27 00:00:00,-0.0367421517848627,0.0488554127822491,0.1051027532281179,0.225064135121076,0.085570037336645,1
2015-03-31 00:00:00,0.0173189550540249,0.0470850492842953,0.1965183870294318,0.2401189492714801,0.125260335159808,1
2015-04-30 00:00:00,-0.058474474995161,-0.0773610367752484,0.024722175463377,0.1304656612472989,0.0048380812350666,8
2015-05-29 00:00:00,-0.0030235659099321,-0.0450643042122114,0.0015894733860064,0.1006407654453964,0.0135355921773148,5
2015-06-30 00:00:00,-0.0466863619705408,-0.1051447358637835,-0.0630104316496182,0.0374894016547906,-0.044338031957288,10
2015-07-31 00:00:00,0.0577053829813487,0.0052762296181059,-0.0724929817506632,0.0964786630232064,0.0217418234679994,3
2015-08-31 00:00:00,-0.062911713656851,-0.0551104849593372,-0.0976912735120587,-0.0028561420964184,-0.0546424035561663,8
2015-09-30 00:00:00,0.0305977819993474,0.0214907241317088,-0.0859136482444253,0.093721127208199,0.0149739962737074,2
2015-10-30 00:00:00,0.0575851943337875,0.0213746506100975,0.0267636577928289,0.052147489100202,0.039467747959229,2
2015-11-30 00:00:00,-0.0062586833174621,0.0831233352454619,0.0234318829693094,0.0250586007096775,0.0313387839017466,2
2015-12-31 00:00:00,0.0183099784024096,0.0702092701783541,0.0932088423669545,0.0243252813262333,0.0515133430684879,1
2016-01-29 00:00:00,-0.0343659008102814,-0.0228394174862124,-0.0019529514450205,-0.0743043579222201,-0.0333656569159336,7
2016-02-29 00:00:00,-0.0036372025852369,-0.0202616765828741,0.0611774405273544,-0.0424903350600299,-0.0013029434251966,6
2016-03-31 00:00:00,0.1046542182330836,0.0628120068363413,0.1374312621731133,0.0397103928125595,0.0861519700137744,1
2016-04-29 00:00:00,-0.023508255336318,0.0747623263055725,0.0502153808366268,0.0783229858981049,0.0449481094259965,2
2016-05-31 00:00:00,0.0224858153887714,0.102940852883157,0.0805934220319981,0.1059137606344577,0.0779834627345961,1
2016-06-30 00:00:00,0.0692840852914928,0.0676255805116921,0.1346852857734446,0.2404479877112051,0.1280107348219586,2
2016-07-29 00:00:00,0.0426299589696026,0.1399363295049511,0.2251606213389783,0.2227679421331518,0.157623712986671,1
2016-08-31 00:00:00,-0.037641866415669,0.0729019238768069,0.1833473629806654,0.2557415259026159,0.1185872365861048,1
2016-09-30 00:00:00,-0.018325688980911,-0.0150042711748581,0.0516066367884804,0.1961302641919426,0.0536017352061634,6
2016-10-31 00:00:00,-0.0574129883814172,-0.1095170702672794,0.0150938424063333,0.0660671662876812,-0.0214422624886705,11
2016-11-30 00:00:00,-0.0167560489293401,-0.0901911423241978,-0.0238643262394718,0.0548057880763999,-0.0190014323541524,9
2016-12-30 00:00:00,0.0481709129162266,-0.028562558656207,-0.0431382694555396,0.0857369261685137,0.0155517527432484,5
2017-01-31 00:00:00,-0.0019388753751945,0.0286094899030495,-0.0840408078802533,0.1221971329385762,0.0162067348965444,6
2017-02-28 00:00:00,0.0350855691567117,0.0828430097504664,-0.0148198382567013,0.1658103464597979,0.0672297717775687,6
2017-03-31 00:00:00,-0.0242367865361601,0.0080401601026083,-0.0207520460981341,0.0297836473847412,-0.0017912562867361,9
2017-04-28 00:00:00,0.0024218354982714,0.0124444711999898,0.041409991076184,0.0571288693618683,0.0283512917840784,5
2017-05-31 00:00:00,-0.007247055634729,-0.0289621846346539,0.051481510571729,0.0263886127686714,0.0104152207677543,9
2017-06-30 00:00:00,0.0223260285904978,0.0173751374266537,0.0255549964159773,-0.0186856713608903,0.0116426227680596,6
2017-07-31 00:00:00,0.0123754824509241,0.0274772646726317,0.0402636759014956,-0.047160923829749,0.0082388747988256,7
2017-08-31 00:00:00,-0.00261091616712,0.0322755661290594,0.0023786105889873,-0.0124764782919188,0.0048916955647519,10
2017-09-29 00:00:00,-0.0011406133563758,0.0085805408402537,0.0261047663432012,0.0048109929305313,0.0095889216894026,7
2017-10-31 00:00:00,-0.0107118040713971,-0.0144202018000602,0.0126608351710777,0.0545951113187148,0.0105309851545838,8
2017-11-30 00:00:00,0.026642614268096,0.01448696100162,0.0472301019984977,0.1011430895655642,0.0473756917084445,6
2017-12-29 00:00:00,-0.0014739571232678,0.0141484019315794,0.0228503437124318,0.0489892805800837,0.0211285172752068,8
2018-01-31 00:00:00,-0.0425404874750791,-0.018480116777401,-0.0326338315642422,0.0063158863197267,-0.0218346373742489,11
2018-02-28 00:00:00,-0.076777663087308,-0.1173548928114076,-0.1045680475652955,-0.1024381636415162,-0.1002846917763818,11
