Date,VGLT_1M,VGLT_3M,VGLT_6M,VGLT_12M,VGLT_avg,VGLT_rank
2014-06-30 00:00:00,-0.001365186550042,0.0446494413077431,0.1228505320860082,0.0616285035539423,0.0569408225994129,7
2014-07-31 00:00:00,0.0050586468159155,0.0306211469743447,0.0627820661178075,0.0863890752420135,0.0462127337875203,6
2014-08-29 00:00:00,0.0429503041481658,0.0467951970445688,0.1029606155518954,0.1410608219533573,0.0834417346744968,5
2014-09-30 00:00:00,-0.0196712617142092,0.0276062890468731,0.0734883357371396,0.1150582940970486,0.049120414291713,3
2014-10-31 00:00:00,0.0272073931152045,0.0502519237705363,0.0824118422884034,0.1335668377984855,0.0733594992431574,3
2014-11-28 00:00:00,0.0245903825848394,0.0317634657246774,0.0800450404066508,0.1899893962261907,0.0815970712355896,3
2014-12-31 00:00:00,0.0308552172107174,0.0849409081177308,0.1148921004260066,0.2518571881818299,0.1206363534840712,2
2015-01-30 00:00:00,0.0865375309163529,0.1476056572386606,0.205275049244854,0.280944707076691,0.1800907361191396,1
2015-02-27 00:00:00,-0.05494802367738,0.0585176406558851,0.0921398294538253,0.2045872185631347,0.0750741662488663,3
2015-03-31 00:00:00,0.0138671262477805,0.0410736837692999,0.1295034278861353,0.2125087550108826,0.0992382482285246,2
2015-04-30 00:00:00,-0.0287934068618579,-0.0694314767326742,0.0679257017498087,0.1559354262581465,0.0314090611033557,5
2015-05-29 00:00:00,-0.022556251762043,-0.0375361269397895,0.0187849881282202,0.1003336736686326,0.014756570773755,3
2015-06-30 00:00:00,-0.0355368765825238,-0.0844353375737391,-0.0468297241588974,0.0626820108961228,-0.0260299818547593,8
2015-07-31 00:00:00,0.0404631696259685,-0.0191465776735511,-0.0872486792439739,0.1001163930725246,0.008546076445242,5
2015-08-31 00:00:00,-0.0060664285621844,-0.0025992320607768,-0.0400377938959869,0.0484129600565552,-7.262361559823294e-05,1
2015-09-30 00:00:00,0.0187248501400412,0.0535156017661746,-0.0354383437081534,0.0894756971891701,0.0315694513468081,1
2015-10-30 00:00:00,-0.0038419070379501,0.0086547255088602,-0.0106575605388898,0.056544218932373,0.0126748692160983,4
2015-11-30 00:00:00,-0.0106623134624818,0.0039907709390651,0.0013811659385167,0.0201920992524951,0.0037254306668988,6
2015-12-31 00:00:00,-0.0022405703308868,-0.0166714212699262,0.035951999354691,-0.0125613470169463,0.0011196651842328,5
2016-01-29 00:00:00,0.0522643613133582,0.0387122547806197,0.0477020242284362,-0.0437085936267331,0.0237425116739202,1
2016-02-29 00:00:00,0.0279935766676797,0.0792973323977257,0.0836045608264681,0.0402194247553457,0.0577787236618048,2
2016-03-31 00:00:00,1.3227895249601218e-05,0.0817353132785865,0.0637012481683629,0.026005437732981,0.042863806768795,5
2016-04-29 00:00:00,-0.0030909875352992,0.0248296174953424,0.0645030827545465,0.0531580767062553,0.0348499473552112,3
2016-05-31 00:00:00,0.0065645954578696,0.0034665904151989,0.0830388141853664,0.0845346705056098,0.0444011676410112,2
2016-06-30 00:00:00,0.0616165593013253,0.0652826576430092,0.1523538693957069,0.1937832949645956,0.1182590953261593,3
2016-07-29 00:00:00,0.020963063993693,0.0909864717519171,0.1180752485381095,0.1714097011330906,0.1003586213542025,3
2016-08-31 00:00:00,-0.0103264704385934,0.072678730281902,0.0763972680868854,0.166388988960102,0.076284629222574,4
2016-09-30 00:00:00,-0.0123491596443305,-0.0020577202640739,0.0630906039314092,0.1308108023179,0.0448736315852261,7
2016-10-31 00:00:00,-0.0425172334023942,-0.0641066571315467,0.0210469760721612,0.0869076536660218,0.0003326848010605,10
2016-11-30 00:00:00,-0.0773435640397036,-0.1274819520002167,-0.0640684481235482,0.0136501981029419,-0.0638109415151316,11
2016-12-30 00:00:00,-0.0037508396460597,-0.1198859584826417,-0.1216969869805679,0.0121158755548493,-0.058304477388605,11
2017-01-31 00:00:00,0.0058350598880629,-0.0754407384232594,-0.1347111420029554,-0.0325419450376975,-0.0592146913939623,11
2017-02-28 00:00:00,0.0164797078311877,0.0185760283588221,-0.1112740319969889,-0.0433777959636858,-0.0298990229426662,11
2017-03-31 00:00:00,-0.0064123704545141,0.0158548501755775,-0.105931882216962,-0.0495245847102124,-0.0365034968015277,11
2017-04-28 00:00:00,0.0159313142774706,0.0260516800526611,-0.0513544163509365,-0.0313882954509139,-0.0101899293679296,10
2017-05-31 00:00:00,0.0177582124640707,0.0273422240905003,0.0464261623794197,-0.0206167379201099,0.0177274652534702,7
2017-06-30 00:00:00,0.0065948008795453,0.040791280751534,0.0572928705718958,-0.0713764861327387,0.0083256165175591,7
2017-07-31 00:00:00,-0.0055900713860369,0.0187432640859577,0.0452832376577296,-0.0955280610036894,-0.0092729076615097,11
2017-08-31 00:00:00,0.0328109037322046,0.0338105243133635,0.0620772033362584,-0.0561044093710536,0.0181485555026932,7
2017-09-29 00:00:00,-0.0224394284180462,0.0039912844494685,0.0449453748055399,-0.06574765556152,-0.0098126061811394,11
2017-10-31 00:00:00,-0.0007170823306189,0.0089112258137682,0.0278215153584824,-0.0249616586756873,0.002763500041486,10
2017-11-30 00:00:00,0.0067963457535387,-0.0165013443715523,0.0167512608367341,0.0639551199718182,0.0177503455476346,7
2017-12-29 00:00:00,0.0172910672361632,0.0234704898035238,0.0275554516539668,0.0864270531510231,0.0386860154611692,7
2018-01-31 00:00:00,-0.0319226771507531,-0.00849043422554,0.0003451314115867,0.0456439977370488,0.0013940044430856,9
