Date,MTUM_1M,MTUM_3M,MTUM_6M,MTUM_12M,MTUM_avg,MTUM_rank
2014-06-30 00:00:00,0.020719675373131796,0.05167631288115304,0.058868250957156754,0.2463699525763916,0.0944085479469583,2
2014-07-31 00:00:00,-0.010433027448472187,0.051156431998506724,0.07265859052062451,0.16381423376558857,0.0692990572090619,3
2014-08-29 00:00:00,0.04600639259317307,0.05654017798562516,0.05136648810338662,0.26234127226266923,0.10406358273621352,3
2014-09-30 00:00:00,-0.006658984491933917,0.028200708428254728,0.08133432994161627,0.21726163857480318,0.08003442311318507,1
2014-10-31 00:00:00,0.022968572106849106,0.06290634157692887,0.11728083756059227,0.17954408059034344,0.09567495795867842,2
2014-11-28 00:00:00,0.03752250366779464,0.054285381510267516,0.11389486462850051,0.18646558317976925,0.09804208324658298,2
2014-12-31 00:00:00,-0.008060866476825246,0.052797489980370704,0.082487125029306,0.1462112487634224,0.06835874932406846,3
2015-01-30 00:00:00,-0.006905615018419797,0.022052196255548884,0.08634576082264966,0.16527811262208147,0.06669261367046506,3
2015-02-27 00:00:00,0.054297887201192996,0.03857744512747918,0.09495701796418299,0.15120111460115981,0.08475836622350374,2
2015-03-31 00:00:00,-0.010528722145470182,0.03599355751919342,0.09069141699204164,0.1794020725661618,0.07388958123298167,3
2015-04-30 00:00:00,-0.01038390459425187,0.03236501460701602,0.05513093051649309,0.1788775697835514,0.06399740257820216,2
2015-05-29 00:00:00,0.03363523596550544,0.012132214651988216,0.05117768962447866,0.17090143028475935,0.06696164263168292,1
2015-06-30 00:00:00,-0.003448798797484054,0.01937428287381837,0.05606518975802399,0.14317697110469307,0.053791911234762846,1
2015-07-31 00:00:00,0.03793417019392975,0.06914530323788393,0.10374820659419992,0.1990521852492111,0.10246996631880617,1
2015-08-31 00:00:00,-0.06001341811418648,-0.02772060765603801,-0.015924705366415437,0.07752015006421442,-0.006534645268106376,3
2015-09-30 00:00:00,-0.01889472280660165,-0.04279033371893837,-0.02424508287485605,0.0642475131961755,-0.005420656551055142,6
2015-10-30 00:00:00,0.07315606426104049,-0.01030779442700358,0.058124773239511374,0.11646017659075847,0.05935830491607669,1
2015-11-30 00:00:00,0.005328137727383497,0.058488962635929065,0.02914700539445203,0.08181637141449127,0.043695119293063966,1
2015-12-31 00:00:00,-0.0013444580603427791,0.07742348674571198,0.03132017619124028,0.08914133757068243,0.04913513561182298,2
2016-01-29 00:00:00,-0.0380678681906359,-0.034242729476223865,-0.044197556887166534,0.054965232444144085,-0.015385730527470554,5
2016-02-29 00:00:00,-0.012766207432571064,-0.05162486048182324,0.0038446176182989067,-0.012141312150934391,-0.018171940611757448,7
2016-03-31 00:00:00,0.053073029372509906,5.281021544623066e-05,0.0774803857121733,0.0513567844645495,0.045490752441169735,4
2016-04-29 00:00:00,-0.00629271683559085,0.03308718796085208,-0.0022885371418438494,0.05570321539524681,0.020052287344666048,6
2016-05-31 00:00:00,0.02450447779179088,0.07208896006558785,0.016742517078099706,0.04637751670814416,0.03992836791090565,3
2016-06-30 00:00:00,0.029511713267209805,0.04810218405238165,0.04815753455453087,0.08098601321295495,0.05168936127176932,5
2016-07-29 00:00:00,0.026832557553924774,0.08304071476781094,0.11887548646658952,0.0694239235038272,0.07454317057303811,5
2016-08-31 00:00:00,-0.014913840611642248,0.0413701855861166,0.11644147930832727,0.12073376988947704,0.06590789854306967,5
2016-09-30 00:00:00,0.004930989726954493,0.016506327987332314,0.06540250246658963,0.14795029929641612,0.05869752986932314,5
2016-10-31 00:00:00,-0.019387136362938318,-0.029248562621170704,0.05136333060064646,0.04895724656899536,0.0129212195463832,6
2016-11-30 00:00:00,-0.005931439721211795,-0.020396871332652,0.020129491901057506,0.037209027341083,0.007752552047069178,4
2016-12-30 00:00:00,0.010952559850762267,-0.014527066347959416,0.001739473117539525,0.04998077640883469,0.012036435757294267,6
2017-01-31 00:00:00,0.03150538619598664,0.036617687475767324,0.0062981101294190545,0.12592228750146361,0.05008586782565916,5
2017-02-28 00:00:00,0.03795507150143829,0.08238267350675454,0.060305453382544894,0.18376898889309556,0.09110304682095832,3
2017-03-31 00:00:00,0.020523722256809762,0.09263009832672209,0.07675738839455248,0.1471800161449457,0.0842728062807575,2
2017-04-28 00:00:00,0.025771487055030073,0.08655642109146999,0.12634360454378513,0.18419636347389012,0.10571696904104383,1
2017-05-31 00:00:00,0.04765254458526513,0.09670796997532616,0.18705770459805926,0.21095257304885373,0.13559269805187607,1
2017-06-30 00:00:00,0.003453421104110177,0.07836333484754698,0.17825223658640765,0.1803017746776303,0.11009269180392378,1
2017-07-31 00:00:00,0.034762024395000646,0.0878148218018564,0.18197217958728062,0.18941637054422888,0.12349134908209164,1
2017-08-31 00:00:00,0.014677387131500241,0.053575545416900905,0.1554646976298184,0.22514552008791022,0.11221578756653244,2
2017-09-29 00:00:00,0.028088539989281402,0.07944117930680927,0.1640297898890597,0.25337767657440535,0.13123429643988893,1
2017-10-31 00:00:00,0.05037627613616413,0.0957296262309506,0.191950928101436,0.34254630479708204,0.1701507838164082,1
2017-11-30 00:00:00,0.027960401155403103,0.110073684920164,0.16954648804270978,0.38831916951670364,0.17397493590874513,1
2017-12-29 00:00:00,0.0012252668262098254,0.08106819417764566,0.1669495264342007,0.374960889504548,0.15605096923565104,1
2018-01-31 00:00:00,0.08222626408134337,0.11384883644342003,0.22047716923392735,0.44257005985593967,0.2147805824036576,1
2018-02-28 00:00:00,-0.014604354086100946,0.06772769885294427,0.1852564211570149,0.36952195228598916,0.15197542955246185,1
