Date,VTIP_1M,VTIP_3M,VTIP_6M,VTIP_12M,VTIP_avg,VTIP_rank
2014-06-30 00:00:00,0.003001710405539537,0.016014466837759977,0.016014466837759755,0.020834376021020562,0.013966255025519958,11
2014-07-31 00:00:00,-0.0033917989098090073,0.006853514223918111,0.010929139305007274,0.010378324233686564,0.0061922947132007355,9
2014-08-29 00:00:00,-0.0008006814005849794,-0.0012006306144305423,0.007265656325194492,0.014286114352903612,0.004887614665770645,9
2014-09-30 00:00:00,-0.010819558285883435,-0.0149639914441142,0.0008108350489031135,-0.0005453915452662272,-0.006379526556590187,8
2014-10-31 00:00:00,0.0008099974662167941,-0.01081098454884899,-0.004031563561310958,-0.0021588094827664772,-0.004047840031677408,8
2014-11-28 00:00:00,-0.001618864318302382,-0.011620970644486528,-0.012807648765791657,-0.003975118098268338,-0.007505650456712226,8
2014-12-31 00:00:00,-0.014104678633045431,-0.014903429458995476,-0.029644406112196986,-0.01410467863304632,-0.018189298209321053,7
2015-01-30 00:00:00,0.010157611565186686,-0.005702579532486429,-0.01645191358212117,-0.005702579532486429,-0.004424865270476835,8
2015-02-27 00:00:00,-0.0020520704479434215,-0.006134013703103736,-0.01768370115441331,-0.01054652852436444,-0.009104078457456227,9
2015-03-31 00:00:00,-0.0034959478641408692,0.0045604854394381,-0.010410910892601821,-0.009608517375141123,-0.0047387226731114285,9
2015-04-30 00:00:00,0.006810037870766061,0.0012314601299123762,-0.004478141901905985,-0.008491651549502821,-0.0012320738626825922,9
2015-05-29 00:00:00,-0.0008199636673770216,0.002467620889818889,-0.0036815292336366268,-0.016442026266083043,-0.004618974569319451,9
2015-06-30 00:00:00,-0.001435932502733439,0.004539964393009299,0.009121154273956877,-0.020793643039747733,-0.002142114218878749,3
2015-07-31 00:00:00,-0.0016434515280843165,-0.00389446476472588,-0.0026678005128988325,-0.01907582367152727,-0.006820385119309075,7
2015-08-31 00:00:00,-0.0039095088816564205,-0.006974503373782803,-0.004524092914185762,-0.022127791361509552,-0.009383974132783635,4
2015-09-30 00:00:00,-0.0006196174673094301,-0.006162716058536466,-0.0016507301769963512,-0.012044455464817694,-0.005119379791914985,5
2015-10-30 00:00:00,0.0008268212285047483,-0.0037036254953896064,-0.007583666621122087,-0.012027847787761559,-0.005622079668942126,8
2015-11-30 00:00:00,-0.0018586509857239086,-0.0016523437046682687,-0.008615322801707959,-0.012265134472593364,-0.006097862991173375,7
2015-12-31 00:00:00,0.0004137009707143591,-0.0006200930633324386,-0.0067789876643894464,0.0022803344172592777,-0.001176261334937062,6
2016-01-29 00:00:00,0.002895624140118347,0.001445718940727314,-0.0022632609561903383,-0.004925023540349072,-0.0007117353539234372,3
2016-02-29 00:00:00,0.0012373726684777875,0.004551992052547638,0.0028921268924679833,-0.00164505027249906,0.001759110335248587,5
2016-03-31 00:00:00,0.011946517242949817,0.016132514739320758,0.01550241801550456,0.013826097529274328,0.014351886881762366,9
2016-04-29 00:00:00,-0.0018320606838139186,0.011342430753108035,0.012804547660808296,0.0051237756189927985,0.006859673337273803,8
2016-05-31 00:00:00,-0.0006117476291168655,0.009474648079813797,0.014069768655121884,0.00533323025470489,0.007066474840130926,9
2016-06-30 00:00:00,0.00958988271029404,0.007123770069001001,0.023371209133960402,0.016433788331148946,0.014129662561101097,9
2016-07-29 00:00:00,-0.000808440031683233,0.008156574920457516,0.019591521059784123,0.017283919378906498,0.011055893831866226,10
2016-08-31 00:00:00,-0.004045023319501184,0.00469317673405234,0.014212291011798328,0.017145521653306517,0.008001491519914,10
2016-09-30 00:00:00,0.008326201162522473,0.003435624285921701,0.010583868952378062,0.026250362528604354,0.012149014232356647,11
2016-10-31 00:00:00,0.00020152937811857008,0.0044498835389372715,0.012642754267868206,0.02560918667826506,0.010725838465797277,7
2016-11-30 00:00:00,-0.005839789525291961,0.002639809038990304,0.007345374863405363,0.021518491243541327,0.006415971405161258,5
2016-12-30 00:00:00,0.0033349544730909564,-0.0023232898290037607,0.001104352505958417,0.024501371693291585,0.006654347210834299,7
2017-01-31 00:00:00,0.004678475165370122,0.0021423547570589285,0.0066017715251642795,0.026322631330816026,0.009936308194602339,7
2017-02-28 00:00:00,0.00040504927655127254,0.008437333570351813,0.011099415558767145,0.02546945469454509,0.01135281327505383,9
2017-03-31 00:00:00,0.0012143892869322936,0.006305984420740263,0.003968043962270018,0.014593910171942781,0.006520581960471339,7
2017-04-28 00:00:00,-0.00020215272238888193,0.0014174502552461998,0.0035628416936028806,0.016250640093498525,0.005257194829989681,9
2017-05-31 00:00:00,-0.00020228235563524155,0.0008095040088698102,0.009253667634571139,0.016667014155613336,0.006631975860854761,10
2017-06-30 00:00:00,-0.00444889277496352,-0.004851487854686254,0.0014239031592262474,0.0025298281562049496,-0.0013366623285546442,9
2017-07-31 00:00:00,0.0026407080125818716,-0.0020218472044828406,-0.0006072628170729066,0.0059904996977182545,0.0015005244221860947,10
2017-08-31 00:00:00,0.0028362673298918395,0.0010111725242325509,0.0018214950813142394,0.01294112817092663,0.004652515776591315,11
2017-09-29 00:00:00,-0.001010151087207034,0.0044687738707496205,-0.00040439418609494737,0.003562045122267543,0.0016540684299287955,9
2017-10-31 00:00:00,0.001820110543618192,0.0036466802464789616,0.0016174600117340177,0.005186064459306028,0.0030675788152842998,9
2017-11-30 00:00:00,-0.0012112025066252086,-0.00040406043488205867,0.0006067035145407296,0.009865985381788178,0.00221435648870541,11
2017-12-29 00:00:00,0.001704110155412497,0.0023118475595731436,0.00679095255428952,0.008224525372312774,0.004757858910396984,11
