Date,DBC_1M,DBC_3M,DBC_6M,DBC_12M,DBC_avg,DBC_rank
2014-06-30 00:00:00,0.0211295154350796,0.0176110992697833,0.035853540479493,0.0577000017996738,0.0330735392460074,9
2014-07-31 00:00:00,-0.0474041083228669,-0.0412722297034964,0.0176848810789307,-0.0235249324389275,-0.02362909734659,11
2014-08-29 00:00:00,-0.011453326874002,-0.0384171421513253,-0.0420971529387605,-0.0611402053523778,-0.0382769568291164,11
2014-09-30 00:00:00,-0.0723133207178952,-0.1264109059934937,-0.1110260417379456,-0.0986025093529197,-0.1020881944505635,11
2014-10-31 00:00:00,-0.038759681351265,-0.1184834341323333,-0.1548655883262613,-0.1332039315382285,-0.111328158837022,11
2014-11-28 00:00:00,-0.0851253596255778,-0.1841789840513831,-0.21552049599112,-0.1995295323542321,-0.1710885930055782,11
2014-12-31 00:00:00,-0.0964740984320029,-0.2054263196669873,-0.305869098476468,-0.2809820481006277,-0.2221878911690215,11
2015-01-30 00:00:00,-0.056910643077871,-0.2204301393995674,-0.312796253629571,-0.3006431370980145,-0.222695043301256,11
2015-02-27 00:00:00,0.0442528891533728,-0.1101862011436581,-0.2740712026119215,-0.3046307382182183,-0.1611588132051062,11
2015-03-31 00:00:00,-0.0605392778376366,-0.0747967350876175,-0.2648578367424488,-0.3464777612436053,-0.186667902727827,11
2015-04-30 00:00:00,0.0714704780861235,0.0511495833415158,-0.1805554658442519,-0.3074592257270211,-0.0913486575359084,11
2015-05-29 00:00:00,-0.0317114460651778,-0.0253164529445156,-0.1327131303117861,-0.3196312266335759,-0.1273430639887638,11
2015-06-30 00:00:00,0.0163750536525497,0.0544815967958756,-0.0243901838544339,-0.3227990787836703,-0.0690831530474197,11
2015-07-31 00:00:00,-0.1261111841955841,-0.13996727603966,-0.0959769605490193,-0.3787519804841044,-0.185201850317092,11
2015-08-31 00:00:00,-0.0025429221696191,-0.1140598283497555,-0.1364886910169952,-0.3731522739389621,-0.156560928868833,10
2015-09-30 00:00:00,-0.0344168430915672,-0.158333427508071,-0.1124780886689998,-0.3475452221656517,-0.1631933953585724,11
2015-10-30 00:00:00,0.0033003438002061,-0.0336935931958559,-0.1689448687759037,-0.3189964151363262,-0.1295836333269699,11
2015-11-30 00:00:00,-0.0664473198684906,-0.0956022510136912,-0.198757703022975,-0.3050930763930017,-0.1664750875745396,11
2015-12-31 00:00:00,-0.0584919966758884,-0.1181518517936731,-0.2577778916408264,-0.2758808253245326,-0.1775756413587301,11
2016-01-29 00:00:00,-0.0434131348157355,-0.1592105386248896,-0.1875397566998256,-0.2655172214186931,-0.1639201628897859,11
2016-02-29 00:00:00,-0.0023473503683899,-0.101479914550672,-0.1873804573006422,-0.2982938349785068,-0.1473753892995527,11
2016-03-31 00:00:00,0.0423529601284762,-0.005239395208215,-0.1227722027557589,-0.2214411087171083,-0.0767749366381515,11
2016-04-29 00:00:00,0.0970654136111524,0.1408451172176215,-0.040789448382171,-0.2028431491537071,-0.001430516676776,9
2016-05-31 00:00:00,0.0089162928404504,0.1537254241677725,0.0366454667082893,-0.1693958051038295,0.0074728446531707,8
2016-06-30 00:00:00,0.0435078646322633,0.1550037269495301,0.1489522059570802,-0.1472222712906125,0.0500603815620653,6
2016-07-29 00:00:00,-0.069706870062241,-0.020576148967447,0.1173709181369671,-0.0921805519939013,-0.0162731632216555,11
2016-08-31 00:00:00,0.0077031131926217,-0.021753865187418,0.12862743682713,-0.0828552884075886,0.0079303491061862,11
2016-09-30 00:00:00,0.0430855161774148,-0.0221497996671702,0.1294206257827632,-0.0092408322823744,0.0352788775026583,8
2016-10-31 00:00:00,-0.0033311919655621,0.0476190377404626,0.0260630723587815,-0.01578947436805,0.0136403609414079,4
2016-11-30 00:00:00,0.0167112994390929,0.0569840454334689,0.0339905570038572,0.0718816235372277,0.0448918813534117,2
2016-12-30 00:00:00,0.0414200929890493,0.0552964314155419,0.0319218268702086,0.1856288593577859,0.0785668026581464,2
2017-01-31 00:00:00,-0.0056818415592643,0.052807508206804,0.102941188673546,0.2323944086392371,0.0956153159900807,2
2017-02-28 00:00:00,-0.0019047070904696,0.0335305792910316,0.0924253327782296,0.2329412032585194,0.0892481020593277,4
2017-03-31 00:00:00,-0.0324427549246121,-0.0397727038952809,0.0133244389271047,0.1444695219340188,0.0213946255103076,5
2017-04-28 00:00:00,-0.0269559953630128,-0.0603174591232491,-0.0106951656341095,0.0150891578488603,-0.0207198655678778,11
2017-05-31 00:00:00,-0.0141892478851939,-0.071883056706462,-0.0407627579480079,-0.0081577497918172,-0.0337482030828703,11
2017-06-30 00:00:00,-0.0095955860182492,-0.0499672014160262,-0.0877525746049118,-0.0586319702286568,-0.051486833066961,11
2017-07-31 00:00:00,0.0408304833568347,0.0162162165768673,-0.0450793635268905,0.0532213018805505,0.0162971595718404,6
2017-08-31 00:00:00,0.0039893782033877,0.0349555279372615,-0.0394402389661182,0.0493398166008141,0.0122111209438362,8
2017-09-29 00:00:00,0.0198675661258751,0.0657440136826201,0.0124917678930163,0.0259826526185034,0.0310215000800037,5
2017-10-31 00:00:00,0.0396103597982906,0.0644946849982051,0.0817567613550604,0.0701871936165501,0.0640122499420265,5
2017-11-30 00:00:00,0.0093691213241504,0.0701986377322037,0.1076079961118707,0.0624588394650844,0.0624086486583273,5
2017-12-29 00:00:00,0.0278465892550785,0.0785714304034568,0.1494810452815844,0.0486111240985809,0.0761275472596751,5
2018-01-31 00:00:00,0.0295002436852589,0.0680824214254265,0.1369680607473795,0.0857142642184849,0.0800662475191374,5
