Date,VWO_1M,VWO_3M,VWO_6M,VWO_12M,VWO_avg,VWO_rank
2014-06-30 00:00:00,0.031730918202725,0.073172457957952,0.0614226623576146,0.1412244184722135,0.0768876142476263,5
2014-07-31 00:00:00,0.0136795367145861,0.0782871182283133,0.1750541185399019,0.148839040645708,0.1039649535321273,1
2014-08-29 00:00:00,0.0384263813815142,0.0860325395375469,0.1819284494482238,0.2353651746182599,0.1354381362463862,1
2014-09-30 00:00:00,-0.0716576682219776,-0.0227975508406833,0.0487067542868351,0.0690670525854162,0.0058296469523975,7
2014-10-31 00:00:00,0.0222965858349437,-0.0144905847829167,0.0626621073212982,0.0474856420701104,0.0294884376108589,6
2014-11-28 00:00:00,-0.0110220165533333,-0.0614191515122802,0.0193293424444236,0.0456802633915438,-0.0018578905574115,7
2014-12-31 00:00:00,-0.0468034108404933,-0.0362907811007241,-0.0582609910142152,-0.0004168738362863,-0.0354430141979297,9
2015-01-30 00:00:00,-0.0019991810024149,-0.0591941682447458,-0.072826994914058,0.0894784582252528,-0.0111354714839915,9
2015-02-27 00:00:00,0.0465698208094851,-0.0044075730329814,-0.0655560151493475,0.1044459301107503,0.0202630406844766,7
2015-03-31 00:00:00,-0.0205527302437611,0.0230106732155508,-0.0141151831898187,0.0339040663376766,0.0055617065299118,8
2015-04-30 00:00:00,0.0741376100337622,0.1010554487024342,0.035879387225147,0.10078977255937,0.0779655546301784,1
2015-05-29 00:00:00,-0.0355348973277883,0.0146762645603755,0.0102040048194933,0.0297305839673782,0.0047689890048646,8
2015-06-30 00:00:00,-0.0255315549013684,0.0095183603408461,0.0327480574357486,-0.0274208678584634,-0.0026715012458092,5
2015-07-31 00:00:00,-0.0626224064672897,-0.1190142841999122,-0.0299858773892993,-0.1006290909632346,-0.078062914754934,9
2015-08-31 00:00:00,-0.0986427667049678,-0.1766598447513843,-0.1645762868097749,-0.219343336407797,-0.164805558668481,11
2015-09-30 00:00:00,-0.0288169085993741,-0.1794356797590418,-0.1716252528761469,-0.1833179141816197,-0.1407989388540456,10
2015-10-30 00:00:00,0.0528858840394819,-0.078321696945907,-0.1880145804464796,-0.1588810411571449,-0.0930828586275124,10
2015-11-30 00:00:00,-0.0229620216554615,-0.0009347319396956,-0.1774294470917293,-0.1690359332054795,-0.0925905334730915,10
2015-12-31 00:00:00,-0.0343676516490475,-0.0066448340223599,-0.1848881934717146,-0.1581948652149696,-0.0960238860895229,10
2016-01-29 00:00:00,-0.0574747340269597,-0.1107656050751461,-0.1804119518683277,-0.2049880185893399,-0.1384100773899433,10
2016-02-29 00:00:00,-0.0032435149461651,-0.0928191436569599,-0.0936671145784646,-0.2428280154747296,-0.1081394471640798,10
2016-03-31 00:00:00,0.1272068940046198,0.058974999258454,0.0519382861545525,-0.1286008882168231,0.0273798228002008,7
2016-04-29 00:00:00,0.0101215388480653,0.1349228444801986,0.009212428897743,-0.180534222502839,-0.0065693525692079,10
2016-05-31 00:00:00,-0.0323504072328162,0.1017812723075726,-0.000485121885292,-0.1778284940691427,-0.0272206877199195,11
2016-06-30 00:00:00,0.0492362136156101,0.0255693223109831,0.086052272333766,-0.1147459703138752,0.011527959486621,10
2016-07-29 00:00:00,0.0513767248360512,0.0674554236446529,0.2114795457586049,-0.0070858437402603,0.0808064626247622,4
2016-08-31 00:00:00,0.0078297540925476,0.1117798686196389,0.2249382381736906,0.1102018078671336,0.1136874171882527,2
2016-09-30 00:00:00,0.0202074059155137,0.0810206900932088,0.1086616565430431,0.1662436429091556,0.0940333488652303,1
2016-10-31 00:00:00,0.0031888628931142,0.0314741531182798,0.1010526790953829,0.1111960486142187,0.0617279359302489,1
2016-11-30 00:00:00,-0.0405298447347317,-0.0180199961097532,0.0917455997122116,0.0912159700286181,0.0311029322240861,3
2016-12-30 00:00:00,-0.0073824990437746,-0.0445761010960142,0.0328330025247309,0.1217106293332903,0.0256462579295581,3
2017-01-31 00:00:00,0.0575738625626272,0.0072194583924425,0.0389208378495979,0.2586313447171786,0.0905863758804615,3
2017-02-28 00:00:00,0.0224631630362721,0.0733473966315232,0.0540056807198092,0.2910918615659841,0.1102270254883971,2
2017-03-31 00:00:00,0.0284491757938654,0.1120932729301764,0.0625204907678431,0.1779757274056039,0.0952596667243722,1
2017-04-28 00:00:00,0.0156094216141937,0.0679655064137596,0.075675638951878,0.1843755441056036,0.0859065277713587,2
2017-05-31 00:00:00,0.0099155896446896,0.0548595324717628,0.1322307329905137,0.2361079206013228,0.1082784439270722,3
2017-06-30 00:00:00,0.0085045876337628,0.0344027715183901,0.1503523637059318,0.1881218857678206,0.0953454021564763,3
2017-07-31 00:00:00,0.05339181554155,0.0728843099536489,0.1458034354030251,0.1903990651198606,0.1156196565045211,2
2017-08-31 00:00:00,0.0299930372436421,0.094213596018448,0.1542416423202661,0.2165772479289225,0.1237563808778197,1
2017-09-29 00:00:00,-0.0049511604540988,0.0796142945547999,0.1167560184583569,0.1865761528003153,0.0944988263398433,3
2017-10-31 00:00:00,0.0243286576718613,0.0498276565554463,0.1263436208737454,0.2115803940627385,0.1030200822909478,3
2017-11-30 00:00:00,-0.0033608089763628,0.0158315139135849,0.111536653788248,0.2585159602644906,0.0956308297474902,4
2017-12-29 00:00:00,0.0370534024032993,0.0587133876296341,0.1430021071214902,0.3148551756480653,0.1384060182006222,2
2018-01-31 00:00:00,0.0856021519568355,0.1220437144934669,0.177952523339445,0.3497020479839972,0.1838251094434361,2
