Date,BNDX_1M,BNDX_3M,BNDX_6M,BNDX_12M,BNDX_avg,BNDX_rank
2014-06-30 00:00:00,0.006067145986347,0.0196710514362525,0.0424745549159359,0.0559890829191025,0.0310504588144095,10
2014-07-31 00:00:00,0.0050434168260304,0.0186672306191522,0.0329520764994479,0.0584416370357494,0.028776090245095,7
2014-08-29 00:00:00,0.0136801494626686,0.0249737241819814,0.0421285240954758,0.0748786971291479,0.0389152737173184,8
2014-09-30 00:00:00,-0.0012650336428469,0.0175037541199538,0.0375191228038287,0.0655407000931191,0.0298246358435137,4
2014-10-31 00:00:00,0.0060510631345278,0.0185238930359006,0.0375369134383196,0.0610946851027049,0.0308016386778632,5
2014-11-28 00:00:00,0.0090642129429898,0.0138858998419724,0.0392064066566253,0.0708408376789266,0.0332493392801285,5
2014-12-31 00:00:00,0.009834520406919,0.0251538355052629,0.0430978761770752,0.0874029942014549,0.041372306572678,5
2015-01-30 00:00:00,0.017887817643883,0.0372153448360039,0.0564286109389424,0.0912401273428087,0.0506929751904095,5
2015-02-27 00:00:00,-0.001815563516949,0.0260320415854407,0.0402794197495477,0.0841048563504951,0.0371501885421336,5
2015-03-31 00:00:00,0.0048675696407369,0.02098542203333,0.0466671213924281,0.0859371536546818,0.0396143166802942,4
2015-04-30 00:00:00,-0.0102533265840032,-0.0072413604450324,0.029704494664928,0.0683564231482141,0.0201415576960266,6
2015-05-29 00:00:00,-0.0052223723805834,-0.0106296510344972,0.015125679033175,0.054925109212931,0.0135496912077563,4
2015-06-30 00:00:00,-0.0135433962539887,-0.0287566802096636,-0.0083747292468108,0.034362213886169,-0.0040781479560735,7
2015-07-31 00:00:00,0.0128471697053618,-0.0060880486218952,-0.0132853233124492,0.0423936152860975,0.0089668532642787,4
2015-08-31 00:00:00,-0.0069720824166034,-0.007836236023745,-0.0183825906038856,0.021156389062644,-0.0030086299953975,2
2015-09-30 00:00:00,0.0081332867696519,0.0139658577912127,-0.0151924341248064,0.0307657001000718,0.0094181026340325,4
2015-10-30 00:00:00,0.0059014598155717,0.0070124763759116,0.0008817354568797,0.0306124216279828,0.0111020233190864,5
2015-11-30 00:00:00,0.001902185042703,0.0160117178795815,0.0080500102553846,0.0232974511598957,0.0123153410843912,3
2015-12-31 00:00:00,-0.0014151010985178,0.0063887105964812,0.0204437922113538,0.0118978517399943,0.0093288133623279,4
2016-01-29 00:00:00,0.013048959934689,0.0135396729086203,0.0206470959209408,0.007087469263719,0.0135807995069923,2
2016-02-29 00:00:00,0.0126315022933312,0.0243936153982955,0.0407959169656979,0.0216633917219213,0.0248711065948115,3
2016-03-31 00:00:00,0.0074810878769877,0.0335197289595052,0.0401225874035815,0.0243205935127288,0.0263609994382008,8
2016-04-29 00:00:00,-0.0026425737853609,0.0175111150437974,0.0312878827223759,0.0321972058148218,0.0195884074489085,7
2016-05-31 00:00:00,0.0074791119823751,0.0123338966790031,0.0370283804092481,0.0453764695066687,0.0255544646443238,6
2016-06-30 00:00:00,0.0194928573466321,0.024403524128626,0.0587412526025787,0.0803859387763761,0.0457558932135532,7
2016-07-29 00:00:00,0.0081951248757201,0.0355351168856903,0.0536684914493683,0.075423685861196,0.0432056047679937,8
2016-08-31 00:00:00,0.0007138957014829,0.0285815046977357,0.0412679227026104,0.0837474024162325,0.0385776813795154,9
2016-09-30 00:00:00,0.000106755100875,0.009022577850458,0.0336462846753617,0.0751188480766331,0.029473616425832,10
2016-10-31 00:00:00,-0.0125749773791836,-0.0117645709884579,0.023352490492047,0.0553710231982136,0.0135959913306547,5
2016-11-30 00:00:00,-0.0124776262191702,-0.0247916003727496,0.0030813230824684,0.0402237998949781,0.0015089740963816,6
2016-12-30 00:00:00,0.0042494396094052,-0.0207520508855383,-0.0119167100297518,0.046124540098777,0.004426304698223,8
2017-01-31 00:00:00,-0.0097621914635627,-0.0179625582394441,-0.0295158074363603,0.0225686151539878,-0.0086679854963448,10
2017-02-28 00:00:00,0.0088431818376257,0.0032398290241486,-0.0216320918950435,0.0187431193113472,0.0022985095695195,10
2017-03-31 00:00:00,-0.0002588565277399,-0.0012639347494998,-0.0219897563968006,0.0109166546748926,-0.0031489732497869,10
2017-04-28 00:00:00,0.004918012523821,0.0135422552798467,-0.0046635565087551,0.0185800283242609,0.0080941849047934,7
2017-05-31 00:00:00,0.0072926004701163,0.0119844514858431,0.015263108083755,0.0183914617334715,0.0132329054432965,8
2017-06-30 00:00:00,-0.0053612359694045,0.0068195858661179,0.0055470316050649,-0.0064357807918509,0.0001424001774818,8
2017-07-31 00:00:00,0.0016389055721586,0.0035342739680939,0.017124391288245,-0.0128968563838438,0.0023501786111634,9
2017-08-31 00:00:00,0.0093465438223636,0.0055805538174711,0.017631885179804,-0.0043816212757312,0.0070443403859768,9
2017-09-29 00:00:00,-0.0040320855691373,0.0069243258922606,0.013791132793365,-0.0085018872539974,0.0020453714656227,8
2017-10-31 00:00:00,0.0062154550844386,0.0115250248137277,0.0151000313770015,0.0103660550186355,0.0108016415734508,7
2017-11-30 00:00:00,0.0023341480240912,0.0044974941036217,0.0101031464289822,0.0255204599286691,0.0106138121213411,10
2017-12-29 00:00:00,0.0027302500325918,0.0113177430973925,0.0183204367312244,0.0239690923778554,0.014084380559766,10
2018-01-31 00:00:00,-0.0057015634424809,-0.0006597038998644,0.0108577178100466,0.0281680409065681,0.0081661228435673,7
2018-02-28 00:00:00,0.0025732756711212,-0.0004212904984458,0.0040743088536447,0.0217780317793425,0.0070010814514156,7
