Date,VCIT_1M,VCIT_3M,VCIT_6M,VCIT_12M,VCIT_avg,VCIT_rank
2014-06-30 00:00:00,0.0015504329777418224,0.026831042317918108,0.06072472043881527,0.08150660250079778,0.042653199558818244,8
2014-07-31 00:00:00,-0.002454927885640612,0.013322439421483034,0.037053566098067536,0.06694825403385729,0.028717332916941812,8
2014-08-29 00:00:00,0.014658203065996522,0.013736587894844554,0.03937346150432797,0.09603946301961197,0.04095192887119525,7
2014-09-30 00:00:00,-0.01326485660681831,-0.001258963619693465,0.02553829939206853,0.06621216294781429,0.01930666052834276,5
2014-10-31 00:00:00,0.01146803876269975,0.012680695377746964,0.026172072595223694,0.06512594084692025,0.028861686895647665,7
2014-11-28 00:00:00,0.0072542126372932,0.005291134880179182,0.019100404914368818,0.0740779597417267,0.026430928043391977,6
2014-12-31 00:00:00,-0.002513681526430167,0.016244490570635595,0.014965075728293309,0.07659854620705464,0.026323607744888344,6
2015-01-30 00:00:00,0.030197505081039022,0.035062402979043394,0.04818771400817834,0.08702680675236585,0.05011860720515665,6
2015-02-27 00:00:00,-0.00989976685895122,0.017434837846753926,0.022818222805595312,0.0630901167271567,0.02336085263013868,6
2015-03-31 00:00:00,0.003649999846218277,0.023721785388568062,0.040351624278267106,0.06692043553211091,0.03366096126129109,5
2015-04-30 00:00:00,0.0003662007438931525,-0.005922002318033748,0.02893276102929221,0.05586206394655435,0.01980975585042649,7
2015-05-29 00:00:00,-0.00749342671790143,-0.0035059946158958466,0.013867716783237727,0.03323300070340385,0.009025324038211074,7
2015-06-30 00:00:00,-0.012549055227350947,-0.01958955091158887,0.00366753535439579,0.018687496027004036,-0.002445893689384998,4
2015-07-31 00:00:00,0.00202208644402746,-0.017966697558786215,-0.023782301052228894,0.023259398234388495,-0.0041168784831497884,6
2015-08-31 00:00:00,-0.009304395139674293,-0.019758556018694917,-0.023195277243571066,-0.0009063294421582935,-0.013291139461024642,5
2015-09-30 00:00:00,0.017265680611110223,0.00983849876658649,-0.009943783917483295,0.030006592528241338,0.011791746997113689,3
2015-10-30 00:00:00,0.0027820496720840637,0.010604390193252877,-0.007552833236930234,0.02116140347322415,0.006748752525407714,6
2015-11-30 00:00:00,-0.002809386669606284,0.01722992082243091,-0.00286907355203192,0.01095885573175659,0.005627579083137324,5
2015-12-31 00:00:00,-0.0069888092824470505,-0.00702371645666211,0.002745679484227992,0.006423284715203925,-0.0012108903849193109,7
2016-01-29 00:00:00,0.0047562695724101545,-0.005068801587410632,0.00548183705599703,-0.018430834695416065,-0.003315382413604878,4
2016-02-29 00:00:00,0.01078534632393957,0.008495128726969225,0.025871419944742735,0.0020760479428669765,0.011806985734629627,4
2016-03-31 00:00:00,0.023331487395885864,0.039288207181161994,0.0319885414971679,0.021726670435200823,0.029083726627354145,6
2016-04-29 00:00:00,0.009838057248272136,0.04454464813392178,0.03925005856333885,0.03140077617953918,0.03125838503126799,5
2016-05-31 00:00:00,0.0005038490353728164,0.03391975828304017,0.04270303972301215,0.039711448009120076,0.029209523762636302,5
2016-06-30 00:00:00,0.026132779314891774,0.036750034786257046,0.07748208494801845,0.08044050540328174,0.05520135111311225,4
2016-07-29 00:00:00,0.00996945240180791,0.03688493159374184,0.08307260602695155,0.0890098335730043,0.0547342058988764,7
2016-08-31 00:00:00,-0.001937257887520194,0.03435505928270821,0.06944013287241702,0.09710806765572277,0.04974150048083195,8
2016-09-30 00:00:00,0.001868244053536472,0.009896095185017773,0.04700981181357089,0.0805021286267138,0.03481906991970973,9
2016-10-31 00:00:00,-0.008808682475847873,-0.008880675778404346,0.027676692696744887,0.06801306306927035,0.019500099377940755,3
2016-11-30 00:00:00,-0.029843790689990657,-0.03659306575702537,-0.0034951634177350366,0.03905862220301093,-0.007718349415435033,8
2016-12-30 00:00:00,0.005912199003959007,-0.03270435657382931,-0.023131906814431447,0.05255786976478172,0.0006584513451199925,9
2017-01-31 00:00:00,0.003617112190870797,-0.02057812338884979,-0.029276051525309543,0.05136451660725383,0.0012818634709913235,8
2017-02-28 00:00:00,0.009428200863338176,0.0190689430281914,-0.01822191381498217,0.049952886940932695,0.015057029254370025,7
2017-03-31 00:00:00,-7.005313911634392e-05,0.013008446521230344,-0.020121342926100128,0.025942568343077177,0.004689904699772762,8
2017-04-28 00:00:00,0.011607710018571638,0.021073816266218515,6.203328596821045e-05,0.02774044285890609,0.015121000607416113,6
2017-05-31 00:00:00,0.010482355772784002,0.02214013279611371,0.041631264755231046,0.03799059326388954,0.028061086647004574,6
2017-06-30 00:00:00,-0.000616515317739097,0.021581532740600373,0.03487072147633352,0.010932188382159813,0.016691981820338653,5
2017-07-31 00:00:00,0.009553706254040062,0.019507277776700693,0.04099218683063888,0.010516045931540985,0.020142304198230154,5
2017-08-31 00:00:00,0.007668187933268955,0.016667975757342468,0.0391771397501659,0.020241343471139928,0.020938661727979313,6
2017-09-29 00:00:00,-0.0036791347618612136,0.013552387838897673,0.03542640188135615,0.014592232174364561,0.014972971783189293,6
2017-10-31 00:00:00,0.002016420562588994,0.005985248158195899,0.025609281833280706,0.0256729037471517,0.014820963575304325,6
2017-11-30 00:00:00,-0.0025421967731952266,-0.004208083849029265,0.012389751668732796,0.05453681745593664,0.015044072125611235,8
2017-12-29 00:00:00,0.00450795429655515,0.0039746586645779125,0.01758091261922523,0.05306469320280427,0.01978205469579064,9
2018-01-31 00:00:00,-0.011557581257259364,-0.009625870791958424,-0.003698235859191046,0.03714235219616335,0.0030651660719386298,8
