Date,VTV_1M,VTV_3M,VTV_6M,VTV_12M,VTV_avg,VTV_rank
2014-06-30 00:00:00,0.0191715873443827,0.0421359384085551,0.0715551489015724,0.2257470230302418,0.089652424421188,3
2014-07-31 00:00:00,-0.0119828663106488,0.0208915128286362,0.0992967679853615,0.1491888355272352,0.064348562507646,4
2014-08-29 00:00:00,0.0343838426236093,0.0415821099222226,0.0936864880283601,0.2340820181533385,0.1009336146818826,4
2014-09-30 00:00:00,-0.0127848832524475,0.008922949793314,0.0514348650647824,0.1910714917114528,0.0596611058292754,2
2014-10-31 00:00:00,0.0179802478301833,0.0395200644314763,0.0612372111931716,0.1593293034638467,0.0695167067296695,4
2014-11-28 00:00:00,0.0246798117166124,0.029767848263732,0.0725877681246056,0.1513461768639104,0.0695954012422151,4
2014-12-31 00:00:00,0.0035531163330413,0.0468100778575328,0.0561507116253896,0.1317237330582468,0.0595594097185526,4
2015-01-30 00:00:00,-0.0409518202232207,-0.0137909828003554,0.0251840611022775,0.1269815249598398,0.0243556957596353,7
2015-02-27 00:00:00,0.0530663173828533,0.0135297739226023,0.0437003744435056,0.1414809970790016,0.0629443657069907,4
2015-03-31 00:00:00,-0.0132681916196076,-0.0034587602853594,0.0431894127339247,0.0968457194149041,0.0308270450609654,6
2015-04-30 00:00:00,0.0127841746235428,0.05237799124714,0.0378646644703799,0.1014206021184813,0.051111858114886,4
2015-05-29 00:00:00,0.0117961570852422,0.0111348067719356,0.0248152321128329,0.0992042825520029,0.0367376196305034,2
2015-06-30 00:00:00,-0.022288934429148,0.001890970746587,-0.0015743299532909,0.0544879819248871,0.0081289220722587,2
2015-07-31 00:00:00,0.0100767868299358,-0.0007872971931075,0.0515494570085421,0.078031742785914,0.0347176723578211,2
2015-08-31 00:00:00,-0.0584320208437072,-0.0701420649397472,-0.0597882765075008,-0.0187006721347042,-0.0517657586064149,7
2015-09-30 00:00:00,-0.0253732146862734,-0.0730753880574136,-0.0713226007319389,-0.0312135692382828,-0.0502461931784772,7
2015-10-30 00:00:00,0.0764820379141335,-0.0121367917103488,-0.0129145336414094,0.0244611263458465,0.0189729597270554,3
2015-11-30 00:00:00,0.0054466396069567,0.0548826692855348,-0.0191089794073053,0.0052320589460965,0.0116130971078207,4
2015-12-31 00:00:00,-0.0114356763170319,0.0699678977029771,-0.0082204216306432,-0.0097818099279328,0.0101324974568422,3
2016-01-29 00:00:00,-0.0475954575901017,-0.0533587648339669,-0.0648479523296038,-0.0166413720517685,-0.0456108867013602,8
2016-02-29 00:00:00,0.0010304490762789,-0.0575166663018388,-0.005790665191355,-0.0652327278072322,-0.0318774025560368,8
2016-03-31 00:00:00,0.0669871472801495,0.0172505516233725,0.088425434157654,0.0107961014907398,0.0458648086379789,3
2016-04-29 00:00:00,0.0151715358979758,0.0842911377464987,0.026434701915929,0.0131787764273261,0.0347690379969324,4
2016-05-31 00:00:00,0.0106410689094793,0.094701120702568,0.0317375616428687,0.0120221098236914,0.0372754652696519,4
2016-06-30 00:00:00,0.0112538473512191,0.0375202014682771,0.0554179972639974,0.046742016329919,0.0377335156033531,8
2016-07-29 00:00:00,0.0281209688701913,0.0507547119240383,0.1393240220846103,0.0654411922124946,0.0709102237728336,6
2016-08-31 00:00:00,0.0067520062002017,0.0467112873171693,0.1458360192781325,0.1392008665262958,0.0846250448304498,3
2016-09-30 00:00:00,-0.0046880456800061,0.030210426113334,0.0688641288558262,0.163378903505446,0.06444135319865,2
2016-10-31 00:00:00,-0.0109195730130464,-0.008909458128909,0.0413930568143958,0.0689219718486047,0.0226214993802612,2
2016-11-30 00:00:00,0.0599651759193851,0.0434759047875419,0.0922180075846157,0.1268823439277844,0.0806353580548318,1
2016-12-30 00:00:00,0.0272845660598008,0.0769956970685561,0.1095321959992237,0.1710202482014282,0.0962081768322522,1
2017-01-31 00:00:00,0.0049454898236471,0.0942709397511889,0.0845215786317934,0.2356214870043265,0.104839873802739,1
2017-02-28 00:00:00,0.0358402582937771,0.0693652193734453,0.1158568398340333,0.2785889594397071,0.1249128192352407,1
2017-03-31 00:00:00,-0.0091824820792434,0.031404371696462,0.1108180702547869,0.1873135889801929,0.0800883872130496,4
2017-04-28 00:00:00,-0.0003146594545674,0.0260057296643669,0.1227282539899312,0.169201408394463,0.0794051831485484,4
2017-05-31 00:00:00,0.0006295169926078,-0.0088707119794785,0.0598791885115113,0.1576191355564429,0.0523142822702708,4
2017-06-30 00:00:00,0.0180110184063699,0.0183313451981645,0.0503114012729266,0.1653543155373731,0.0630020201037085,4
2017-07-31 00:00:00,0.0154309279168671,0.0343706172756566,0.061270179921292,0.1509704108830867,0.0655105339992256,4
2017-08-31 00:00:00,-0.0046916764579532,0.028869993857469,0.0197431844776303,0.1378874072735041,0.0454522272876625,4
2017-09-29 00:00:00,0.0298174203090044,0.0408023329318112,0.0598816397798394,0.1773356777987214,0.0769592677048441,4
2017-10-31 00:00:00,0.0183330622508137,0.0437769795593763,0.0796522386449525,0.2121560728101674,0.0884795883163275,4
2017-11-30 00:00:00,0.0352187701249522,0.0856309502354404,0.1169731091002148,0.1838565524623152,0.1054198454807306,2
2017-12-29 00:00:00,0.0165186424607446,0.0716114118710142,0.1153356574717034,0.1714497572887661,0.0937288672730571,4
2018-01-31 00:00:00,0.0471218154341557,0.1019063689812336,0.1501445015724722,0.2206140621193015,0.1299466870267908,4
2018-02-28 00:00:00,-0.0443726327159623,0.0171877797926227,0.1042905359441423,0.1260927477121891,0.0507996076832479,4
