Date,IAU_1M,IAU_3M,IAU_6M,IAU_12M,IAU_avg,IAU_rank
2014-06-30 00:00:00,0.0618301725411454,0.0353698190433591,0.1027397070129692,0.0742285538208791,0.0685420631045882,6
2014-07-31 00:00:00,-0.0357142883586798,-0.0063999938964848,0.028997546836708,-0.0342145872573835,-0.01183283066896,10
2014-08-29 00:00:00,0.0032206088250656,0.0272052696284135,-0.0303502203692644,-0.0790834971132141,-0.0197519597572498,10
2014-09-30 00:00:00,-0.060995202773279,-0.0916149297120564,-0.0594855141542828,-0.0923196665913245,-0.0761038283077357,10
2014-10-31 00:00:00,-0.0299144814958244,-0.0861513436595327,-0.0919999694824224,-0.1167315140443939,-0.0811993271705433,10
2014-11-28 00:00:00,-0.0052863804052952,-0.0939004873765592,-0.0692498058254644,-0.0692498058254643,-0.0594216198581958,10
2014-12-31 00:00:00,0.0132860601450039,-0.0222222421470416,-0.1118012827067519,-0.0205480067227491,-0.0353213678578846,8
2015-01-30 00:00:00,0.0865385280686619,0.0951541751019937,0.0008051714026093,0.0298260662347771,0.0530809852020105,4
2015-02-27 00:00:00,-0.0579243965689207,0.0372010697708635,-0.0601926161881087,-0.0887159773914613,-0.0424079800944068,10
2015-03-31 00:00:00,-0.0222032645631808,0.0008741459133434,-0.0213675217158569,-0.0795819778546689,-0.0305696545550908,10
2015-04-30 00:00:00,-0.0008733824496436,-0.0796460740536142,0.0079294445716959,-0.084800033569336,-0.0393475113752244,10
2015-05-29 00:00:00,0.006118938030257,-0.0170794029559019,0.0194862947539542,-0.0511129331994779,-0.0106467758427921,10
2015-06-30 00:00:00,-0.0147697717561611,-0.009606957075077,-0.0087412090439994,-0.1195652133672258,-0.0381707878106158,9
2015-07-31 00:00:00,-0.0670194196345224,-0.0751747979214907,-0.148833494452884,-0.1481481595237588,-0.109793967883164,10
2015-08-31 00:00:00,0.0378071475817325,-0.0460469744662209,-0.062339922590313,-0.1187801357447462,-0.0473399713048869,6
2015-09-30 00:00:00,-0.0182149196359986,-0.0493827523881384,-0.0585152914807737,-0.0786324864352051,-0.051186362485029,8
2015-10-30 00:00:00,0.0222635186212876,0.0415879524792555,-0.0367132113658311,-0.0290748821687101,-0.0004841556084995,7
2015-11-30 00:00:00,-0.0671506981899576,-0.0637522621537897,-0.1068636378324514,-0.0894597194237794,-0.0818065793999945,9
2015-12-31 00:00:00,-0.0048638319098874,-0.0510204271204809,-0.097883650389392,-0.1057692379833482,-0.0648842868507771,9
2016-01-29 00:00:00,0.0537634619106377,-0.0217786492579856,0.0189035737908671,-0.1327434056069605,-0.0204637547908603,6
2016-02-29 00:00:00,0.1122449042782558,0.1663424204829957,0.0919854527312784,0.0239111641382621,0.098620985407698,1
2016-03-31 00:00:00,-0.0091742834676457,0.161290385731913,0.1020408542409636,0.0375546124313328,0.0729278922341409,2
2016-04-29 00:00:00,0.0505050018531623,0.1576994296266634,0.1324862998026539,0.090909090909091,0.1078999555478926,1
2016-05-31 00:00:00,-0.0608973800548182,-0.022518724707547,0.140077876601405,0.0182450072954825,0.0187266947836305,7
2016-06-30 00:00:00,0.0887371960885361,0.0740740829935859,0.2473119061442725,0.1252204635967206,0.1338359122057788,1
2016-07-29 00:00:00,0.0203761931205403,0.043269305715903,0.2077922801743059,0.2306238706666195,0.1255154124193422,2
2016-08-31 00:00:00,-0.0322580692417334,0.0750853322859199,0.0508757816510512,0.1475410661905598,0.0603110277214493,6
2016-09-30 00:00:00,0.0071427933483181,-0.0054859441412935,0.0681817725706719,0.1771799531284117,0.061754643726527,4
2016-10-31 00:00:00,-0.0291568083367822,-0.0537634975674713,-0.012820501064172,0.1179672579908741,0.0055566127556121,9
2016-11-30 00:00:00,-0.0836038765004113,-0.1039682841234885,-0.0366894449981769,0.0982490520541985,-0.0315031383919695,10
2016-12-30 00:00:00,-0.0186005348854318,-0.1268715295441018,-0.1316614635611964,0.083088995064013,-0.0485111332316793,10
2017-01-31 00:00:00,0.0532491116110542,-0.0527597106031864,-0.1036866615979824,0.0825603307392164,-0.0051592324627245,9
2017-02-28 00:00:00,0.0317052170642817,0.0664304696664415,-0.0444444764017843,0.0041701577722548,0.0144653420252984,8
2017-03-31 00:00:00,-0.0024916721815816,0.0839350461714369,-0.0535854510627898,0.0109427704704214,0.0097001733493717,6
2017-04-28 00:00:00,0.0166527731435155,0.0462724900019468,-0.0089285437826311,-0.0216345764417361,0.0080905357302737,8
2017-05-31 00:00:00,-0.0008190195618827,0.0132890239135414,0.0806022896799691,0.0409555914078507,0.0335069713598696,5
2017-06-30 00:00:00,-0.0213114945038261,-0.0058285301552444,0.0776172980685006,-0.0642633725540612,-0.0034465247861578,10
2017-07-31 00:00:00,0.0234506445967996,0.0008190195618835,0.0471294076383193,-0.0614439449007716,0.0024887817240577,8
2017-08-31 00:00:00,0.0409165293841331,0.0426229890076532,0.0564784308413841,0.0095238001528601,0.0373854373465076,5
2017-09-29 00:00:00,-0.0322326917299571,0.0309883460834694,0.0249791994186174,-0.0299447733122071,-0.0015524798850193,10
2017-10-31 00:00:00,-0.0081235075597865,-0.0008183493177833,2.220446049250313e-16,-0.0089285437826316,-0.0044676001650503,11
2017-11-30 00:00:00,0.0032760001415275,-0.0369497057517443,0.0040983763538173,0.0850310045518738,0.0138639188238685,9
2017-12-29 00:00:00,0.0212245084801494,0.0162469376480616,0.0477387494581655,0.1290614002727808,0.0535678989647893,6
2018-01-31 00:00:00,0.0327737681783206,0.0581490610916259,0.0572831255293693,0.1071122529415584,0.0638295519352186,6
