Date,MTUM,VTV,VEU,VWO,VCIT,VGLT,BNDX,VTIP,DBC,IAU,VNQ
2015-06-05 00:00:00,68.32719982147216,83.62584991455078,49.21460008621216,42.04250007629395,86.77490001678467,76.71124988555908,53.02170009613037,48.9068000793457,19.764349975585937,23.462999925613403,80.5284997177124
2015-06-08 00:00:00,68.35624984741212,83.63939990997315,49.20360008239746,42.02340007781982,86.7679999923706,76.71464988708496,53.02350008010864,48.9003000831604,19.72799997329712,23.4514999294281,80.52639972686768
2015-06-09 00:00:00,68.3849998474121,83.6516999053955,49.19080007553101,42.00300008773804,86.75869998931884,76.71314987182618,53.02470008850098,48.89370008468628,19.692749977111816,23.4414999294281,80.52209972381591
2015-06-10 00:00:00,68.41789985656739,83.67034992218018,49.18370006561279,41.98660007476806,86.74819999694824,76.70729988098145,53.02485008239746,48.88705009460449,19.65804997444153,23.432199935913086,80.52359973907471
2015-06-11 00:00:00,68.45014984130859,83.688099899292,49.17495006561279,41.96745008468628,86.73990001678467,76.70629985809326,53.02540008544922,48.88070011138916,19.62234997749329,23.422999935150145,80.52829971313477
2015-06-12 00:00:00,68.48014984130859,83.70239990234376,49.16430006027222,41.94710008621216,86.73104999542237,76.70654987335205,53.026500091552734,48.874200115203855,19.58569997787476,23.412999935150147,80.5318996810913
2015-06-15 00:00:00,68.51034984588622,83.71424991607665,49.15115005493164,41.92350009918213,86.72184997558594,76.70479984283448,53.02710008621216,48.867950115203854,19.5484499835968,23.403499937057497,80.5331496810913
2015-06-16 00:00:00,68.54319984436034,83.7289499282837,49.13940006256104,41.90245010375977,86.7128999710083,76.70409984588623,53.026850090026855,48.861900119781495,19.51134998321533,23.392799940109253,80.53754970550537
2015-06-17 00:00:00,68.57499980926514,83.74299991607666,49.127650051116944,41.882850093841554,86.70439994812011,76.700899848938,53.02725008010864,48.85625011444092,19.47424998283386,23.38289994239808,80.54319969177246
2015-06-18 00:00:00,68.61089981079101,83.76174991607667,49.11775005340576,41.86465007781983,86.69864994049072,76.70194984436036,53.02815008163452,48.85080011367798,19.438949985504152,23.376499938964844,80.55419967651368
2015-06-19 00:00:00,68.64649982452393,83.77724990844726,49.104250049591066,41.84075008392334,86.69444995880127,76.7062998199463,53.030050086975095,48.84550010681152,19.40234998703003,23.36959994316101,80.56114967346191
2015-06-22 00:00:00,68.68434982299804,83.79279991149902,49.096750049591066,41.8205500793457,86.68809997558594,76.70774978637695,53.03095008850098,48.839750099182126,19.36654998779297,23.361799945831297,80.56549968719483
2015-06-23 00:00:00,68.72094982147217,83.80694992065429,49.08985004425049,41.80005006790161,86.68109996795654,76.70859977722168,53.031600093841554,48.83415008544922,19.331999988555907,23.352799949645995,80.56249969482423
2015-06-24 00:00:00,68.75319984436035,83.81894992828369,49.08365005493164,41.78115005493164,86.67544994354247,76.71179977416992,53.0325500869751,48.829100093841554,19.29744998931885,23.34479995727539,80.55779972076417
2015-06-25 00:00:00,68.78979984283447,83.83189994812011,49.078250064849854,41.76430006027222,86.66939994812012,76.71349979400635,53.03415008544922,48.82405010223388,19.2639999961853,23.33639995574952,80.55159973144531
2015-06-26 00:00:00,68.82359985351563,83.84424995422363,49.068750057220456,41.74460006713867,86.6635499572754,76.71339977264404,53.03500007629395,48.819150085449216,19.23180000305176,23.32889995574952,80.55039974212646
2015-06-29 00:00:00,68.85124988555908,83.8472999572754,49.05380004882812,41.72195007324219,86.66089996337891,76.72289978027344,53.03660007476807,48.81440008163453,19.199800004959105,23.32239995956421,80.54299976348877
2015-06-30 00:00:00,68.88199989318848,83.85284996032715,49.04005004882813,41.7050500869751,86.65974998474121,76.73444976806641,53.039450073242186,48.80965007781983,19.170650005340576,23.316699962615967,80.54714977264405
2015-07-01 00:00:00,68.9178498840332,83.86109996795655,49.02805006027221,41.68910009384155,86.65594997406006,76.73999977111816,53.04170007705689,48.80475008010864,19.140250005722045,23.310299968719484,80.55924976348876
2015-07-02 00:00:00,68.94929985046387,83.86589996337891,49.01505004882812,41.67130008697509,86.65319995880127,76.74779975891113,53.04270008087158,48.8000500869751,19.108600006103515,23.30339997291565,80.56869976043701
2015-07-06 00:00:00,68.97949985504151,83.8682999420166,48.99910005569458,41.64995008468628,86.65189994812012,76.76209976196289,53.0440500831604,48.79650009155274,19.074550008773805,23.29809997558593,80.58064975738526
2015-07-07 00:00:00,69.01014984130859,83.87159992218018,48.9807000541687,41.6250500869751,86.65284992218018,76.77894973754883,53.04710008621216,48.793150100708,19.041150007247925,23.291299982070925,80.6018497467041
2015-07-08 00:00:00,69.03589984893799,83.86789993286133,48.95775005340576,41.59455007553101,86.65269989013672,76.79489971160889,53.04940008163452,48.78990009307861,19.00770000457764,23.285499982833866,80.62109973907471
2015-07-09 00:00:00,69.06684986114502,83.86819992065429,48.93995004653931,41.571150074005125,86.64969989776611,76.80334972381591,53.05125007629395,48.78645009994507,18.97625000953674,23.28019997596741,80.64139976501465
2015-07-10 00:00:00,69.10449985504151,83.87614994049072,48.93065006256104,41.55460006713867,86.64414993286132,76.80494972229003,53.05260007858276,48.78270009994507,18.94520001411438,23.27429997444153,80.66754978179932
2015-07-13 00:00:00,69.14339984893799,83.88779991149903,48.922400074005125,41.53820007324219,86.63829990386962,76.80679969787597,53.05400007247925,48.77855010986328,18.91370001792908,23.26839997291565,80.6985498046875
2015-07-14 00:00:00,69.18884983062745,83.90714992523193,48.91975006103516,41.527300090789794,86.63159992218017,76.80604969024658,53.05470006942749,48.77425010681152,18.88215001106262,23.26179997444153,80.73194980621338
2015-07-15 00:00:00,69.23089981079102,83.92384990692139,48.91440006256104,41.51260009765625,86.6274499130249,76.8094997024536,53.05675006866455,48.77015010833741,18.849800014495848,23.25489997863769,80.76119983673095
2015-07-16 00:00:00,69.27529979705811,83.94444988250733,48.91380006790161,41.50480010986328,86.62289989471435,76.81279968261718,53.05875005722046,48.76605010986328,18.816350021362304,23.247699985504152,80.79409984588624
2015-07-17 00:00:00,69.32124977111816,83.96479988098145,48.9132000541687,41.49650011062622,86.61839992523193,76.81944969177246,53.060950050354,48.7624001121521,18.78450002670288,23.24019998550415,80.82739986419678
2015-07-20 00:00:00,69.37314979553223,83.98994987487794,48.91565006256104,41.49095010757446,86.61134994506835,76.81894969940186,53.0632000541687,48.75775012969971,18.75170002937317,23.22899997711181,80.86084983825684
2015-07-21 00:00:00,69.4231997871399,84.01279987335205,48.91940006256104,41.484200115203855,86.60614994049072,76.82314968109131,53.065500049591066,48.7532501411438,18.71970003128052,23.21769997596741,80.8937998199463
2015-07-22 00:00:00,69.46874979019165,84.03064987182617,48.92080005645752,41.47310010910034,86.60004997253418,76.82844970703125,53.067900047302246,48.74955015182495,18.68760003089905,23.20799998283386,80.92619983673096
2015-07-23 00:00:00,69.51324979782105,84.04679985046387,48.91935005187988,41.45665010452271,86.59469993591308,76.8376496887207,53.07095005035401,48.7455001449585,18.6533500289917,23.196299991607667,80.95274982452392
2015-07-24 00:00:00,69.56249980926513,84.0644998550415,48.91830005645752,41.43945009231568,86.5876999282837,76.8433996963501,53.07405006408691,48.74105014801025,18.618900022506715,23.18529998779297,80.98379981994628
2015-07-27 00:00:00,69.60254981994629,84.07304985046386,48.91145004272461,41.41475008010864,86.57789993286133,76.8508996963501,53.07715007781982,48.73565015792847,18.583350019454954,23.17279998779297,81.00774982452393
2015-07-28 00:00:00,69.65494983673096,84.09474983215333,48.91370002746582,41.39480007171631,86.56974994659424,76.85684970855714,53.07985006332397,48.7305001449585,18.54980001926422,23.16019998550415,81.03194984436035
2015-07-29 00:00:00,69.71434982299805,84.12354984283448,48.92040002822876,41.38135007858276,86.56059993743897,76.85869972229004,53.082600078582765,48.725500144958495,18.51690001964569,23.14769998550415,81.05834983825683
2015-07-30 00:00:00,69.78069982528686,84.15854984283447,48.92675003051758,41.364200077056886,86.54994995117187,76.86039974212646,53.08560009002686,48.72055015563965,18.48370001792908,23.13349998474121,81.08244983673096
2015-07-31 00:00:00,69.84844984054565,84.19164981842042,48.934100036621096,41.34770008087158,86.54094993591309,76.8620997619629,53.08860008239746,48.716050148010254,18.451100015640257,23.11989998817444,81.10369983673095
2015-08-03 00:00:00,69.91734983444213,84.22759983062744,48.94195003509522,41.33095006942749,86.53114994049072,76.86359977722168,53.09035007476807,48.71095014572144,18.41860002040863,23.104999990463256,81.12884983062744
2015-08-04 00:00:00,69.9828998374939,84.26284984588624,48.95140003204346,41.31685007095337,86.5199499130249,76.8646997833252,53.09335006713867,48.705350151062014,18.385450019836423,23.09019999504089,81.15049983978271
2015-08-05 00:00:00,70.04479982376098,84.29464981079101,48.95850002288818,41.30035005569458,86.50824989318848,76.86474979400634,53.09615007400512,48.69965015411377,18.351600017547607,23.07509999275208,81.16909984588624
2015-08-06 00:00:00,70.09759983062744,84.32199981689453,48.96320001602173,41.282350063323975,86.49719989776611,76.86744979858399,53.09980007171631,48.69410015106201,18.31850001335144,23.05960000038147,81.18254985809327
2015-08-07 00:00:00,70.14239982604981,84.34069984436036,48.964950008392336,41.26320007324219,86.48739986419677,76.87669979095459,53.10310007095337,48.68820014953613,18.28420001029968,23.044400005340577,81.19399986267089
2015-08-10 00:00:00,70.19224983215332,84.36744987487793,48.9720000076294,41.24890007019043,86.4760998916626,76.88169979095458,53.10600008010864,48.68260015487671,18.25280000686645,23.030700006484984,81.2040998840332
2015-08-11 00:00:00,70.23494983673096,84.38699985504151,48.97305000305176,41.23030006408691,86.46769989013671,76.89464977264404,53.109850063323975,48.67750015258789,18.219050011634828,23.01850001335144,81.21384986877442
2015-08-12 00:00:00,70.27309982299805,84.4031498336792,48.97095001220704,41.20685005187988,86.45869987487794,76.90609977722168,53.11385005950928,48.67240015029907,18.185750012397765,23.007900009155275,81.22514984130859
2015-08-13 00:00:00,70.31339981079101,84.4193998336792,48.96960000991821,41.18520004272461,86.44804985046386,76.91569980621338,53.1177000617981,48.66690013885498,18.152400012016297,22.996600017547607,81.23404983520508
2015-08-14 00:00:00,70.35074981689453,84.4331498336792,48.964950008392336,41.15980003356933,86.43769985198975,76.9280498123169,53.12120004653931,48.66145013809204,18.1176500082016,22.98540001869201,81.24339984893798
2015-08-17 00:00:00,70.39379978179932,84.44869983673095,48.961000003814696,41.13285003662109,86.42994983673096,76.94109981536866,53.12505002975464,48.6560001373291,18.08130000591278,22.976000022888183,81.25834987640381
2015-08-18 00:00:00,70.4338497543335,84.46104984283447,48.95395000457764,41.10140003204346,86.42024982452392,76.95109981536865,53.12830003738404,48.65065013885498,18.04550000190735,22.968000020980835,81.27194988250733
2015-08-19 00:00:00,70.46894973754883,84.4648998260498,48.940500011444094,41.06580003738404,86.41254985809326,76.9654497909546,53.13165004730224,48.6450001335144,18.009000005722047,22.96390001296997,81.27824989318847
2015-08-20 00:00:00,70.49454975128174,84.46099983215332,48.92405002593994,41.02895004272461,86.40644985198975,76.98454978942871,53.13565004348755,48.63965013504029,17.97370000362396,22.962400016784667,81.27814990997314
2015-08-21 00:00:00,70.50879974365235,84.44609985351562,48.90320003509522,40.98630004882813,86.4012498474121,77.00449977874756,53.13940004348755,48.63435012817383,17.938750009536744,22.96140001296997,81.26999992370605
2015-08-24 00:00:00,70.50769973754883,84.41154987335204,48.87375003814697,40.93655004501343,86.39469985961914,77.02504978179931,53.14260004043579,48.628550128936766,17.9016500043869,22.96220001220703,81.24439990997314
2015-08-25 00:00:00,70.50394973754882,84.36914985656739,48.84790004730225,40.89200004577637,86.38689987182617,77.04124977111816,53.14420003890992,48.62285011291504,17.86475000858307,22.961700019836425,81.21159992218017
2015-08-26 00:00:00,70.51474975585937,84.34009983062744,48.827000045776366,40.85175003051758,86.37664989471436,77.04774974822998,53.14590003967285,48.61650011062622,17.826900010108947,22.956700019836425,81.18909992218018
2015-08-27 00:00:00,70.53279975891114,84.31904983520508,48.80950004577637,40.81815002441406,86.3673498916626,77.0568497467041,53.147350025177005,48.610750102996825,17.792700009346007,22.95390002250672,81.17054992675781
2015-08-28 00:00:00,70.55004978179932,84.29819980621338,48.79015003204346,40.78165002822876,86.3584498977661,77.0660997390747,53.148950023651125,48.60505010604859,17.759900012016296,22.95050002098084,81.15299995422363
2015-08-31 00:00:00,70.56329975128173,84.27589981079102,48.77080003738404,40.74540002822876,86.34909992218017,77.07364971160888,53.149800033569335,48.60010009765625,17.7293000125885,22.948100013732912,81.1297999572754
2015-09-01 00:00:00,70.56774974822999,84.24139984130859,48.743600044250485,40.70290002822876,86.34059993743897,77.08154972076416,53.15100002288818,48.5950500869751,17.698100013732912,22.945900020599364,81.0973999786377
2015-09-02 00:00:00,70.58024974822997,84.21304985046386,48.71865005493164,40.66070001602173,86.33234992980957,77.08589973449708,53.15190002441406,48.58960008621216,17.666400017738344,22.940100021362305,81.0720000076294
2015-09-03 00:00:00,70.59209976196288,84.18499984741212,48.69550006866455,40.62190002441406,86.3269499206543,77.09169971466065,53.15325002670288,48.58450008392334,17.63565001964569,22.93410002708435,81.04584999084473
2015-09-04 00:00:00,70.5964497756958,84.14849983215332,48.665200061798096,40.57675001144409,86.32214992523194,77.1009997177124,53.15555004119873,48.57920009613037,17.60450001716614,22.926500024795534,81.01114997863769
2015-09-08 00:00:00,70.6105997467041,84.12224983215332,48.64130006790161,40.53670001983642,86.31704990386963,77.1068497467041,53.15865003585815,48.57420009613037,17.57445001602173,22.92040002822876,80.98544998168946
2015-09-09 00:00:00,70.62024974822998,84.0893998336792,48.61690006256104,40.49605001449585,86.31084991455079,77.11289974212646,53.1603500366211,48.56895009994507,17.542500014305116,22.911800022125245,80.95424995422363
2015-09-10 00:00:00,70.62994972229004,84.05659980773926,48.59100006103515,40.45020000457764,86.30334991455078,77.11414974212647,53.161600036621095,48.56365009307861,17.510050015449522,22.902800025939943,80.92139995574951
2015-09-11 00:00:00,70.64209972381592,84.02439979553223,48.56480007171631,40.40665000915527,86.2969499206543,77.1168497467041,53.16315002441407,48.55835008621216,17.4784500169754,22.89400002479553,80.89409996032715
2015-09-14 00:00:00,70.65169971466065,83.99114978790283,48.537000064849856,40.3645000076294,86.28829990386963,77.11754974365235,53.16375001907349,48.55320007324219,17.44640001296997,22.88500002861023,80.86629997253418
2015-09-15 00:00:00,70.6633996963501,83.96219982147217,48.50980007171631,40.321900005340574,86.27624988555908,77.11039978027344,53.16375001907349,48.54755006790161,17.41485001564026,22.87570002555848,80.8382999420166
2015-09-16 00:00:00,70.67694969177246,83.93834983825684,48.48890007019043,40.28715002059936,86.26279991149903,77.09984977722168,53.16290000915527,48.54230005264282,17.38945001602173,22.87090003013611,80.8132999420166
2015-09-17 00:00:00,70.69384967803956,83.91469985961913,48.46955007553101,40.25625001907349,86.25549991607666,77.09564975738526,53.16225002288818,48.53805006027222,17.36145001411438,22.86280002593994,80.79359992980957
2015-09-18 00:00:00,70.70329967498779,83.88104984283447,48.44470006942749,40.22115001678467,86.25114990234376,77.10049976348877,53.16370002746582,48.53415004730225,17.33450001716614,22.856800031661987,80.77074993133544
2015-09-21 00:00:00,70.7145496749878,83.84529987335205,48.41985006332398,40.18540000915527,86.24489990234375,77.09879978179931,53.164400024414064,48.53025005340576,17.30900001525879,22.849000024795533,80.75154991149903
2015-09-22 00:00:00,70.72159965515137,83.80519989013672,48.39050006866455,40.146550006866455,86.23914989471436,77.0989497756958,53.166100025177,48.52650005340576,17.283350019454957,22.841100025177003,80.72644992828369
2015-09-23 00:00:00,70.72794967651367,83.76299987792969,48.35970006942749,40.10530000686646,86.23414989471435,77.10004978179931,53.16815002441406,48.523450050354,17.25735002040863,22.834800024032592,80.70199993133545
2015-09-24 00:00:00,70.73284965515137,83.72219989776612,48.330600070953366,40.06710000991821,86.2290998840332,77.10034980773926,53.1701000213623,48.520400047302246,17.233550024032592,22.82950002670288,80.67144992828369
2015-09-25 00:00:00,70.73489967346191,83.68339992523194,48.3030500793457,40.028649997711184,86.2220998764038,77.09584980010986,53.17120002746582,48.516900043487546,17.20950002670288,22.82130002975464,80.64054992675781
2015-09-28 00:00:00,70.73134963989258,83.64289993286133,48.27460008621216,39.989449996948245,86.21574989318847,77.09359977722168,53.17165002822876,48.512900047302246,17.185950026512145,22.81190002441406,80.60419994354248
2015-09-29 00:00:00,70.7234496307373,83.60159996032715,48.24695007324219,39.95340000152588,86.21164989471436,77.0926997756958,53.17260002136231,48.51000005722046,17.16380002975464,22.8023000240326,80.57104995727539
2015-09-30 00:00:00,70.72694961547852,83.57354995727539,48.22745008468628,39.92465000152588,86.20519989013673,77.08494979858398,53.17295001983643,48.50740005493165,17.143000030517577,22.791800022125244,80.54459995269775
2015-10-01 00:00:00,70.73569961547851,83.54924995422363,48.21265008926392,39.90034999847412,86.19954986572266,77.07829978942871,53.17280002593994,48.505850067138674,17.12325003147125,22.784200019836423,80.52524997711181
2015-10-02 00:00:00,70.75314960479736,83.53229991912842,48.20035009384155,39.88215000152588,86.1944998550415,77.06999980926514,53.173050022125246,48.50455005645752,17.104550032615663,22.778300018310546,80.50919998168945
2015-10-05 00:00:00,70.76859958648681,83.51549991607666,48.18910009384155,39.8614999961853,86.18859985351563,77.06029979705811,53.17285001754761,48.503450050354,17.08630003452301,22.7728000164032,80.49044998168945
2015-10-06 00:00:00,70.77069961547852,83.48769989013672,48.17385009765625,39.83739999771118,86.18489986419678,77.05714977264404,53.17265001296997,48.50520004272461,17.069850029945375,22.76770001411438,80.46794998168946
