Date,BNDX,DBC,IAU,MTUM,VCIT,VEU,VGLT,VNQ,VTIP,VTV,VWO
2014-01-31 00:00:00,39.4735107421875,22.90318489074707,24.139999389648438,51.7509765625,61.09821701049805,35.40350341796875,52.3942756652832,45.21121597290039,39.36123275756836,56.89463424682617,28.189760208129883
2014-02-03 00:00:00,39.52769470214844,22.90318489074707,24.399999618530273,50.36542510986328,61.41978454589844,34.758995056152344,52.94779968261719,44.492618560791016,39.440895080566406,55.641815185546875,27.441423416137695
2014-02-04 00:00:00,39.48843765258789,23.078086853027344,24.34000015258789,50.90375900268555,61.36171340942383,35.11458969116211,52.49940872192383,45.029876708984375,39.38512420654297,55.88154602050781,28.077518463134766
2014-02-05 00:00:00,39.48843765258789,23.124114990234375,24.420000076293945,50.74489974975586,61.187469482421875,35.13681411743164,52.03557586669922,44.93585968017578,39.36123275756836,55.811946868896484,27.980222702026367
2014-02-06 00:00:00,39.4334716796875,23.216169357299805,24.399999618530273,51.336181640625,61.1439208984375,35.751686096191406,51.83457565307617,45.26493453979492,39.38512420654297,56.438358306884766,28.534000396728516
2014-02-07 00:00:00,39.49628829956055,23.483129501342773,24.600000381469727,52.430511474609375,61.38352966308594,36.16655349731445,51.8577766418457,45.60743713378906,39.448856353759766,57.134342193603516,28.646242141723633
2014-02-10 00:00:00,39.441307067871094,23.3542537689209,24.719999313354492,52.50111389160156,61.354488372802734,35.98133850097656,51.95054244995117,46.037269592285156,39.456825256347656,57.14208984375,28.324464797973633
2014-02-11 00:00:00,39.46489715576172,23.47392463684082,25.040000915527344,53.20714569091797,61.252830505371094,36.60361862182617,51.71862030029297,46.21858596801758,39.38512420654297,57.814884185791016,28.923131942749023
2014-02-12 00:00:00,39.40205764770508,23.51995086669922,25.059999465942383,53.233604431152344,61.194740295410156,36.63325119018555,51.455780029296875,46.24546432495117,39.401065826416016,57.830360412597656,28.878232955932617
2014-02-13 00:00:00,39.51198959350586,23.648828506469727,25.280000686645508,53.78959274291992,61.33993911743164,36.72956085205078,51.78047180175781,46.42006301879883,39.440895080566406,58.093299865722656,28.908159255981445
2014-02-14 00:00:00,39.46489715576172,23.731678009033203,25.600000381469727,53.966094970703125,61.38352966308594,36.89994430541992,51.71862030029297,46.601383209228516,39.409034729003906,58.47225570678711,29.2598876953125
2014-02-18 00:00:00,39.51198959350586,24.072277069091797,25.65999984741211,54.345577239990234,61.49241638183594,37.13701248168945,51.89641189575195,46.82972717285156,39.464786529541016,58.47225570678711,29.0129337310791
2014-02-19 00:00:00,39.51198959350586,24.136714935302734,25.420000076293945,53.992576599121094,61.332679748535156,36.84808349609375,51.672218322753906,46.802879333496094,39.43292999267578,58.07008743286133,28.885713577270508
2014-02-20 00:00:00,39.3392448425293,24.182743072509766,25.68000030517578,54.51326370239258,61.30366516113281,37.003662109375,51.55628204345703,46.70212936401367,39.393096923828125,58.526371002197266,29.035381317138672
2014-02-21 00:00:00,39.47273635864258,24.118305206298828,25.68000030517578,54.40735626220703,61.4125862121582,37.085147857666016,51.81135559082031,46.81631088256836,39.409034729003906,58.46450424194336,29.237430572509766
2014-02-24 00:00:00,39.4805908203125,24.21956443786621,25.940000534057617,54.95452117919922,61.42707443237305,37.36664581298828,51.672218322753906,46.93048095703125,39.41699981689453,58.78158187866211,29.207496643066406
2014-02-25 00:00:00,39.56694793701172,24.109100341796875,26.0,54.88391876220703,61.5650749206543,37.22589874267578,52.105140686035156,47.08493423461914,39.448856353759766,58.61143493652344,28.840816497802734
2014-02-26 00:00:00,39.621925354003906,24.044662475585938,25.760000228881836,54.84861755371094,61.76102066040039,37.10737228393555,52.34480285644531,47.1923828125,39.48072814941406,58.681053161621094,28.76597785949707
2014-02-27 00:00:00,39.70829391479492,23.971019744873047,25.799999237060547,55.19281768798828,61.89900207519531,37.32960891723633,52.61537170410156,47.06479263305664,39.48072814941406,58.95170974731445,29.33470916748047
2014-02-28 00:00:00,39.66118621826172,24.053863525390625,25.700000762939453,55.22810363769531,61.85544204711914,37.396297454833984,52.65402603149414,47.50132369995117,39.472755432128906,59.152774810791016,29.10272789001465
2014-03-03 00:00:00,39.77125549316406,24.385263442993164,26.239999771118164,54.75154495239258,62.01849365234375,36.66288375854492,52.996620178222656,47.52819061279297,39.56037902832031,58.75836181640625,28.593862533569336
2014-03-04 00:00:00,39.69264221191406,24.293210983276367,25.920000076293945,55.863521575927734,61.7491455078125,37.31480407714844,52.33778381347656,48.21319580078125,39.48869323730469,59.59359359741211,29.065319061279297
2014-03-05 00:00:00,39.700504302978516,24.09069061279297,25.920000076293945,55.95176315307617,61.85837936401367,37.27775192260742,52.3067626953125,48.15275955200195,39.49666213989258,59.585853576660156,29.155122756958008
2014-03-06 00:00:00,39.653316497802734,24.311620712280273,26.18000030517578,55.84587097167969,61.632686614990234,37.69261932373047,51.90367889404297,47.74980545043945,39.48869323730469,59.77918243408203,29.559219360351562
2014-03-07 00:00:00,39.614017486572266,24.201156616210938,25.979999542236328,55.687007904052734,61.39244079589844,37.44074249267578,51.63239669799805,47.23268508911133,39.464786529541016,59.94158935546875,29.14764404296875
2014-03-10 00:00:00,39.63760757446289,23.998634338378906,26.0,55.72232437133789,61.39973449707031,37.22589874267578,51.6246337890625,46.98419952392578,39.472755432128906,59.89519119262695,28.975509643554688
2014-03-11 00:00:00,39.653316497802734,24.00783920288086,26.1200008392334,55.31636047363281,61.436126708984375,36.94437789916992,51.77967834472656,47.27970504760742,39.472755432128906,59.54716491699219,28.63876724243164
